accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR33937974	SRP591378	new	PRJNA1274439	SAMN48984240	PFND116-v1-stool	PFND116-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND116-v1-stool_S5_L001_R1_001.fastq.gz	PFND116-v1-stool_S5_L001_R2_001.fastq.gz				
SRR33937973	SRP591378	new	PRJNA1274439	SAMN48984241	PFND117-v1-stool	PFND117-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND117-v1-stool_S154_L001_R1_001.fastq.gz	PFND117-v1-stool_S154_L001_R2_001.fastq.gz				
SRR33937972	SRP591378	new	PRJNA1274439	SAMN48984242	PFND118-v1-stool	PFND118-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND118-v1-stool_S68_L001_R1_001.fastq.gz	PFND118-v1-stool_S68_L001_R2_001.fastq.gz				
SRR33937971	SRP591378	new	PRJNA1274439	SAMN48984243	PFND121-v1-stool	PFND121-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND121-v1-stool_S100_L001_R1_001.fastq.gz	PFND121-v1-stool_S100_L001_R2_001.fastq.gz				
SRR33937970	SRP591378	new	PRJNA1274439	SAMN48984244	PFND122-v1-stool	PFND122-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND122-v1-stool_S46_L001_R1_001.fastq.gz	PFND122-v1-stool_S46_L001_R2_001.fastq.gz				
SRR33937969	SRP591378	new	PRJNA1274439	SAMN48984245	PFND123-v1-stool	PFND123-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND123-v1-stool_S40_L001_R1_001.fastq.gz	PFND123-v1-stool_S40_L001_R2_001.fastq.gz				
SRR33937968	SRP591378	new	PRJNA1274439	SAMN48984246	PFND124-v1-stool	PFND124-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND124-v1-stool_S17_L001_R1_001.fastq.gz	PFND124-v1-stool_S17_L001_R2_001.fastq.gz				
SRR33937966	SRP591378	new	PRJNA1274439	SAMN48984247	PFND128-v1-stool	PFND128-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND128-v1-stool_S101_L001_R1_001.fastq.gz	PFND128-v1-stool_S101_L001_R2_001.fastq.gz				
SRR33937965	SRP591378	new	PRJNA1274439	SAMN48984248	PFND131-v1-stool	PFND131-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND131-v1-stool_S180_L001_R1_001.fastq.gz	PFND131-v1-stool_S180_L001_R2_001.fastq.gz				
SRR33937964	SRP591378	new	PRJNA1274439	SAMN48984249	PFND132-v1-stool	PFND132-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND132-v1-stool_S143_L001_R1_001.fastq.gz	PFND132-v1-stool_S143_L001_R2_001.fastq.gz				
SRR33937963	SRP591378	new	PRJNA1274439	SAMN48984250	PFND134-v1-stool	PFND134-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND134-v1-stool_S64_L001_R1_001.fastq.gz	PFND134-v1-stool_S64_L001_R2_001.fastq.gz				
SRR33937962	SRP591378	new	PRJNA1274439	SAMN48984251	PFND135-v1-stool	PFND135-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND135-v1-stool_S98_L001_R1_001.fastq.gz	PFND135-v1-stool_S98_L001_R2_001.fastq.gz				
SRR33937961	SRP591378	new	PRJNA1274439	SAMN48984252	PFND136-v1-stool	PFND136-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND136-v1-stool_S86_L001_R1_001.fastq.gz	PFND136-v1-stool_S86_L001_R2_001.fastq.gz				
SRR33937960	SRP591378	new	PRJNA1274439	SAMN48984253	PFND137-v1-stool	PFND137-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND137-v1-stool_S21_L001_R1_001.fastq.gz	PFND137-v1-stool_S21_L001_R2_001.fastq.gz				
SRR33937959	SRP591378	new	PRJNA1274439	SAMN48984254	PFND141-v1-stool	PFND141-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND141-v1-stool_S163_L001_R1_001.fastq.gz	PFND141-v1-stool_S163_L001_R2_001.fastq.gz				
SRR33937958	SRP591378	new	PRJNA1274439	SAMN48984255	PFND144-v1-stool	PFND144-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND144-v1-stool_S159_L001_R1_001.fastq.gz	PFND144-v1-stool_S159_L001_R2_001.fastq.gz				
SRR33937957	SRP591378	new	PRJNA1274439	SAMN48984256	PFND145-v1-stool	PFND145-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND145-v1-stool_S1_L001_R1_001.fastq.gz	PFND145-v1-stool_S1_L001_R2_001.fastq.gz				
SRR33937955	SRP591378	new	PRJNA1274439	SAMN48984257	PFND146-v1-stool	PFND146-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND146-v1-stool_S26_L001_R1_001.fastq.gz	PFND146-v1-stool_S26_L001_R2_001.fastq.gz				
SRR33937954	SRP591378	new	PRJNA1274439	SAMN48984258	PFND147-v1-stool	PFND147-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND147-v1-stool_S93_L001_R1_001.fastq.gz	PFND147-v1-stool_S93_L001_R2_001.fastq.gz				
SRR33937953	SRP591378	new	PRJNA1274439	SAMN48984259	PFND148-v1-stool	PFND148-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND148-v1-stool_S172_L001_R1_001.fastq.gz	PFND148-v1-stool_S172_L001_R2_001.fastq.gz				
SRR33937952	SRP591378	new	PRJNA1274439	SAMN48984260	PFND150-v1-stool	PFND150-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND150-v1-stool_S102_L001_R1_001.fastq.gz	PFND150-v1-stool_S102_L001_R2_001.fastq.gz				
SRR33937895	SRP591378	new	PRJNA1274439	SAMN48984261	PFND152-v1-stool	PFND152-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND152-v1-stool_S58_L001_R1_001.fastq.gz	PFND152-v1-stool_S58_L001_R2_001.fastq.gz				
SRR33937894	SRP591378	new	PRJNA1274439	SAMN48984262	PFND154-v1-stool	PFND154-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND154-v1-stool_S169_L001_R1_001.fastq.gz	PFND154-v1-stool_S169_L001_R2_001.fastq.gz				
SRR33937893	SRP591378	new	PRJNA1274439	SAMN48984263	PFND155-v1-stool	PFND155-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND155-v1-stool_S91_L001_R1_001.fastq.gz	PFND155-v1-stool_S91_L001_R2_001.fastq.gz				
SRR33937892	SRP591378	new	PRJNA1274439	SAMN48984264	PFND156-v1-stool	PFND156-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND156-v1-stool_S7_L001_R1_001.fastq.gz	PFND156-v1-stool_S7_L001_R2_001.fastq.gz				
SRR33937891	SRP591378	new	PRJNA1274439	SAMN48984265	PFND159-v1-stool	PFND159-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND159-v1-stool_S6_L001_R1_001.fastq.gz	PFND159-v1-stool_S6_L001_R2_001.fastq.gz				
